ID,Customer_ID,Customer_Name,Segment
197,DB13555,Dorothy Badders,Corporate
198,DB13615,Doug Bickford,Consumer
199,DB13660,Duane Benoit,Consumer
200,DC12850,Dan Campbell,Consumer
201,DC13285,Debra Catini,Consumer
202,DD13570,Dorothy Dickinson,Consumer
203,DE13255,Deanra Eno,Home Office
204,DF13135,David Flashing,Consumer
205,DG13300,Deirdre Greer,Corporate
206,DH13075,Dave Hallsten,Corporate
207,DH13675,Duane Huffman,Home Office
208,DJ13420,Denny Joy,Corporate
209,DJ13510,Don Jones,Corporate
210,DJ13630,Doug Jacobs,Consumer
211,DK12835,Damala Kotsonis,Corporate
212,DK12895,Dana Kaydos,Consumer
213,DK12985,Darren Koutras,Consumer
214,DK13090,Dave Kipp,Consumer
215,DK13150,David Kendrick,Corporate
216,DK13225,Dean Katz,Corporate
217,DK13375,Dennis Kane,Consumer
218,DL12865,Dan Lawera,Consumer
219,DL12925,Daniel Lacy,Consumer
220,DL13315,Delfina Latchford,Consumer
221,DL13330,Denise Leinenbach,Consumer
222,DL13495,Dionis Lloyd,Corporate
223,Dl13600,Dorris liebe,Corporate
224,DM12955,Dario Medina,Corporate
225,DM13015,Darrin Martin,Consumer
226,DM13345,Denise Monton,Corporate
227,DM13525,Don Miller,Corporate
228,DN13690,Duane Noonan,Consumer
229,DO13435,Denny Ordway,Consumer
230,DO13645,Doug O'Connell,Consumer
231,DP13000,Darren Powers,Consumer
232,DP13105,Dave Poirier,Corporate
233,DP13165,David Philippe,Consumer
234,Dp13240,Dean percer,Home Office
235,DP13390,Dennis Pardue,Home Office
236,DR12880,Dan Reichenbach,Corporate
237,DR12940,Daniel Raglin,Home Office
238,DS13030,Darrin Sayre,Home Office
239,DS13180,David Smith,Corporate
240,DV13045,Darrin Van Huff,Corporate
241,DV13465,Dianna Vittorini,Consumer
242,DW13195,David Wiener,Corporate
243,DW13480,Dianna Wilson,Home Office
244,DW13540,Don Weiss,Consumer
245,DW13585,Dorothy Wardle,Corporate
246,EA14035,Erin Ashbrook,Corporate
247,EB13705,Ed Braxton,Corporate
248,EB13750,Edward Becker,Corporate
249,EB13840,Ellis Ballard,Corporate
250,EB13870,Emily Burns,Consumer
251,EB13930,Eric Barreto,Consumer
252,EB13975,Erica Bern,Corporate
253,EB14110,Eugene Barchas,Consumer
254,EB14170,Evan Bailliet,Consumer
255,EC14050,Erin Creighton,Consumer
256,ED13885,Emily Ducich,Home Office
257,EG13900,Emily Grady,Consumer
258,EH13765,Edward Hooks,Corporate
259,EH13945,Eric Hoffmann,Consumer
260,EH13990,Erica Hackney,Consumer
261,EH14005,Erica Hernandez,Home Office
262,EH14125,Eugene Hildebrand,Home Office
263,EH14185,Evan Henry,Consumer
264,EJ13720,Ed Jacobs,Consumer
265,EJ14155,Eva Jacobs,Consumer
266,EK13795,Eileen Kiefer,Home Office
267,EL13735,Ed Ludwig,Home Office
268,EM13810,Eleni McCrary,Corporate
269,EM13825,Elizabeth Moffitt,Corporate
270,EM13960,Eric Murdock,Consumer
271,EM14065,Erin Mull,Consumer
272,EM14095,Eudokia Martin,Corporate
273,EM14140,Eugene Moren,Home Office
274,EM14200,Evan Minnotte,Home Office
275,EN13780,Edward Nazzal,Consumer
276,EP13915,Emily Phan,Consumer
277,ER13855,Elpida Rittenbach,Corporate
278,ES14020,Erica Smith,Consumer
279,ES14080,Erin Smith,Corporate
280,FA14230,Frank Atkinson,Corporate
281,FC14245,Frank Carlisle,Home Office
282,FC14335,Fred Chung,Corporate
283,FG14260,Frank Gastineau,Home Office
284,FH14275,Frank Hawley,Corporate
285,FH14350,Fred Harton,Consumer
286,FH14365,Fred Hopkins,Corporate
287,FM14215,Filia McAdams,Corporate
288,FM14290,Frank Merwin,Home Office
289,FM14380,Fred McMath,Consumer
290,FO14305,Frank Olsen,Consumer
291,FP14320,Frank Preis,Consumer
292,FW14395,Fred Wasserman,Corporate
293,GA14515,George Ashbrook,Consumer
294,GA14725,Guy Armstrong,Consumer
295,GB14530,George Bell,Corporate
296,GB14575,Giulietta Baptist,Consumer
297,GD14590,Giulietta Dortch,Corporate
298,GG14650,Greg Guthrie,Corporate
299,GH14410,Gary Hansen,Home Office
300,GH14425,Gary Hwang,Consumer
301,GH14485,Gene Hale,Corporate
302,GH14665,Greg Hansen,Consumer
303,GK14620,Grace Kelly,Corporate
304,GM14440,Gary McGarr,Consumer
305,GM14455,Gary Mitchum,Home Office
306,GM14500,Gene McClure,Consumer
307,GM14680,Greg Matthias,Consumer
308,GM14695,Greg Maxwell,Corporate
309,GP14740,Guy Phonely,Corporate
310,GR14560,Georgia Rosenberg,Corporate
311,GT14635,Grant Thornton,Corporate
312,GT14710,Greg Tran,Consumer
313,GT14755,Guy Thornton,Consumer
314,GW14605,Giulietta Weimer,Consumer
315,GZ14470,Gary Zandusky,Consumer
316,GZ14545,George Zrebassa,Corporate
317,HA14905,Helen Abelman,Consumer
318,HA14920,Helen Andreada,Consumer
319,HD14785,Harold Dahlen,Home Office
320,HE14800,Harold Engle,Corporate
321,HF14995,Herbert Flentye,Consumer
322,HG14845,Harry Greene,Consumer
323,HG14965,Henry Goldwyn,Corporate
324,HG15025,Hunter Glantz,Consumer
325,HH15010,Hilary Holden,Corporate
326,HJ14875,Heather Jas,Home Office
327,HK14890,Heather Kirkland,Corporate
328,HL15040,Hunter Lopez,Consumer
329,HM14860,Harry Marie,Corporate
330,HM14980,Henry MacAllister,Consumer
331,HP14815,Harold Pawlan,Home Office
332,HR14770,Hallie Redmond,Home Office
333,HR14830,Harold Ryan,Corporate
334,HW14935,Helen Wasserman,Corporate
335,HZ14950,Henia Zydlo,Consumer
336,IG15085,Ivan Gibson,Consumer
337,IL15100,Ivan Liston,Consumer
338,IM15055,Ionia McGrath,Consumer
339,IM15070,Irene Maddox,Consumer
340,JA15970,Joseph Airdo,Consumer
341,JB15400,Jennifer Braxton,Corporate
342,JB15925,Joni Blumstein,Consumer
343,JB16000,Joy Bell-,Consumer
344,JB16045,Julia Barnett,Home Office
345,JC15340,Jasper Cacioppo,Consumer
346,JC15385,Jenna Caffey,Consumer
347,JC15775,John Castell,Consumer
348,JC16105,Julie Creighton,Corporate
349,JD15790,John Dryer,Consumer
350,JD15895,Jonathan Doherty,Corporate
351,JD16015,Joy Daniels,Consumer
352,JD16060,Julia Dunbar,Consumer
353,JD16150,Justin Deggeller,Corporate
354,JE15475,Jeremy Ellison,Consumer
355,JE15610,Jim Epp,Corporate
356,JE15715,Joe Elijah,Consumer
357,JE15745,Joel Eaton,Consumer
358,JE16165,Justin Ellison,Corporate
359,JF15190,Jamie Frazer,Consumer
360,JF15295,Jason Fortune-,Consumer
361,JF15355,Jay Fein,Consumer
362,JF15415,Jennifer Ferguson,Consumer
363,JF15490,Jeremy Farry,Consumer
364,JF15565,Jill Fjeld,Consumer
365,JG15115,Jack Garza,Consumer
366,JG15160,James Galang,Consumer
367,JG15310,Jason Gross,Corporate
368,JG15805,John Grady,Corporate
369,JH15430,Jennifer Halladay,Consumer
370,JH15820,John Huston,Consumer
371,JH15910,Jonathan Howell,Consumer
372,JH15985,Joseph Holt,Consumer
373,JH16180,Justin Hirsh,Consumer
374,JJ15445,Jennifer Jackson,Consumer
375,JJ15760,Joel Jenkins,Home Office
376,JK15205,Jamie Kunitz,Consumer
377,JK15325,Jason Klamczynski,Corporate
378,JK15370,Jay Kimmel,Consumer
379,JK15625,Jim Karlsson,Consumer
380,JK15640,Jim Kriz,Home Office
381,JK15730,Joe Kamberova,Consumer
382,JK16090,Juliana Krohn,Consumer
383,JK16120,Julie Kriz,Home Office
384,JL15130,Jack Lebron,Consumer
385,JL15175,James Lanier,Home Office
386,JL15235,Janet Lee,Consumer
387,JL15505,Jeremy Lonsdale,Consumer
388,JL15835,John Lee,Consumer
389,JL15850,John Lucas,Consumer
390,JM15250,Janet Martin,Consumer
391,JM15265,Janet Molinari,Corporate
392,JM15535,Jessica Myrick,Consumer
393,JM15580,Jill Matthias,Consumer
394,JM15655,Jim Mitchum,Corporate
395,JM15865,John Murray,Consumer
396,JM16195,Justin MacKendrick,Consumer
397,JO15145,Jack O'Briant,Corporate
398,JO15280,Jas O'Carroll,Consumer
399,JO15550,Jesus Ocampo,Home Office
400,JP15460,Jennifer Patt,Corporate
401,JP15520,Jeremy Pistek,Consumer
402,JP16135,Julie Prescott,Home Office
403,JR15670,Jim Radford,Consumer
404,JR15700,Jocasta Rupert,Consumer
405,JR16210,Justin Ritter,Corporate
406,JS15595,Jill Stevenson,Corporate
407,JS15685,Jim Sink,Corporate
408,JS15880,John Stevenson,Consumer
409,JS15940,Joni Sundaresam,Home Office
410,JS16030,Joy Smith,Consumer
411,JW15220,Jane Waco,Corporate
412,JW15955,Joni Wasserman,Consumer
413,JW16075,Julia West,Consumer
414,KA16525,Kelly Andreada,Consumer
415,KB16240,Karen Bern,Corporate
416,KB16315,Karl Braun,Consumer
417,KB16405,Katrina Bavinger,Home Office
418,KB16585,Ken Black,Corporate
419,KB16600,Ken Brennan,Corporate
420,KC16255,Karen Carlisle,Corporate
421,KC16540,Kelly Collister,Consumer
422,KC16675,Kimberly Carter,Corporate
423,KD16270,Karen Daniels,Consumer
424,KD16345,Katherine Ducich,Consumer
425,KD16495,Keith Dawkins,Corporate
426,KD16615,Ken Dana,Corporate
427,KE16420,Katrina Edelman,Corporate
428,KF16285,Karen Ferguson,Home Office
429,KH16330,Katharine Harms,Corporate
430,KH16360,Katherine Hughes,Consumer
431,KH16510,Keith Herrera,Consumer
432,KH16630,Ken Heidel,Corporate
433,KH16690,Kristen Hastings,Corporate
434,KL16555,Kelly Lampkin,Corporate
435,KL16645,Ken Lonsdale,Consumer
436,KM16225,Kalyca Meade,Corporate
437,KM16375,Katherine Murray,Home Office
438,KM16660,Khloe Miller,Consumer
439,KM16720,Kunst Miller,Consumer
440,KN16390,Katherine Nockton,Corporate
441,KN16450,Kean Nguyen,Corporate
442,KN16705,Kristina Nunn,Home Office
443,KS16300,Karen Seio,Corporate
444,KT16465,Kean Takahito,Consumer
445,KT16480,Kean Thornton,Consumer
446,KW16435,Katrina Willman,Consumer
447,KW16570,Kelly Williams,Consumer
448,LA16780,Laura Armstrong,Corporate
449,LB16735,Larry Blacks,Consumer
450,LB16795,Laurel Beltran,Home Office
451,LC16870,Lena Cacioppo,Consumer
452,LC16885,Lena Creighton,Consumer
453,LC16930,Linda Cazamias,Corporate
454,LC16960,Lindsay Castell,Home Office
455,LC17050,Liz Carlisle,Consumer
456,LC17140,Logan Currie,Consumer
457,LD16855,Lela Donovan,Corporate
458,LD17005,Lisa DeCherney,Consumer
459,LE16810,Laurel Elliston,Consumer
460,LF17185,Luke Foster,Consumer
461,LH16750,Larry Hughes,Consumer
462,LH16900,Lena Hernandez,Consumer
463,LH17020,Lisa Hazard,Consumer
464,LH17155,Logan Haushalter,Consumer
465,LL16840,Lauren Leatherbury,Consumer
466,LM17065,Liz MacKendrick,Consumer
467,LO17170,Lori Olson,Corporate
468,LP17080,Liz Pelletier,Consumer
469,LP17095,Liz Preis,Consumer
470,LR16915,Lena Radford,Consumer
471,LR17035,Lisa Ryan,Corporate
472,LS16945,Linda Southworth,Corporate
473,LS16975,Lindsay Shagiari,Home Office
474,LS17200,Luke Schmidt,Corporate
475,LS17230,Lycoris Saunders,Consumer
476,LS17245,Lynn Smith,Consumer
477,LT16765,Larry Tron,Consumer
478,LT17110,Liz Thompson,Consumer
479,LW16825,Laurel Workman,Corporate
480,LW16990,Lindsay Williams,Corporate
481,LW17125,Liz Willingham,Consumer
482,LW17215,Luke Weiss,Consumer
483,MA17560,Matt Abelman,Home Office
484,MA17995,Michelle Arnett,Home Office
485,MB17305,Maria Bertelson,Consumer
486,MB18085,Mick Brown,Consumer
487,MC17275,Marc Crier,Consumer
488,MC17425,Mark Cousins,Corporate
489,MC17575,Matt Collins,Consumer
490,MC17590,Matt Collister,Corporate
491,MC17605,Matt Connell,Corporate
492,MC17635,Matthew Clasen,Corporate
493,MC17845,Michael Chen,Consumer
494,MC18100,Mick Crebagga,Consumer
495,MC18130,Mike Caudle,Corporate
496,MD17350,Maribeth Dona,Consumer
497,MD17860,Michael Dominguez,Corporate
498,ME17320,Maria Etezadi,Home Office
499,ME17725,Max Engle,Consumer
500,ME18010,Michelle Ellison,Corporate
501,MF17665,Maureen Fritzler,Corporate
502,MF18250,Monica Federle,Corporate
503,MG17650,Matthew Grinstein,Home Office
504,MG17680,Maureen Gastineau,Home Office
505,MG17695,Maureen Gnade,Consumer
506,MG17875,Michael Grace,Home Office
507,MG17890,Michael Granlund,Home Office
508,MG18145,Mike Gockenbach,Consumer
509,MG18205,Mitch Gastineau,Corporate
510,MH17290,Marc Harrigan,Home Office
511,MH17440,Mark Haberlin,Corporate
512,MH17455,Mark Hamilton,Consumer
513,MH17620,Matt Hagelstein,Corporate
514,MH17785,Maya Herman,Corporate
515,MH18025,Michelle Huthwaite,Consumer
516,MH18115,Mick Hernandez,Home Office
517,MJ17740,Max Jones,Consumer
518,MK17905,Michael Kennedy,Corporate
519,MK18160,Mike Kennedy,Consumer
520,ML17395,Marina Lichtenstein,Corporate
521,ML17410,Maris LaWare,Consumer
522,ML17755,Max Ludwig,Home Office
523,ML18040,Michelle Lonsdale,Corporate
524,ML18265,Muhammed Lee,Consumer
525,MM17260,Magdelene Morse,Consumer
526,MM17920,Michael Moore,Consumer
527,MM18055,Michelle Moray,Consumer
528,MM18280,Muhammed MacIntyre,Corporate
529,MN17935,Michael Nguyen,Consumer
530,MO17500,Mary O'Rourke,Consumer
531,MO17800,Meg O'Connel,Home Office
532,MO17950,Michael Oakman,Consumer
533,MP17470,Mark Packer,Home Office
534,MP17965,Michael Paige,Corporate
535,MP18175,Mike Pelletier,Home Office
536,MR17545,Mathew Reese,Home Office
537,MS17365,Maribeth Schnelling,Consumer
538,MS17530,MaryBeth Skach,Consumer
539,MS17710,Maurice Satty,Consumer
540,MS17770,Maxwell Schwartz,Consumer
541,MS17830,Melanie Seite,Consumer
542,MS17980,Michael Stewart,Corporate
543,MT17815,Meg Tillman,Consumer
544,MT18070,Michelle Tran,Home Office
545,MV17485,Mark Van Huff,Consumer
546,MV18190,Mike Vittorini,Consumer
547,MW18220,Mitch Webber,Consumer
548,MW18235,Mitch Willingham,Corporate
549,MY17380,Maribeth Yedwab,Corporate
550,MY18295,Muhammed Yedwab,Corporate
551,MZ17335,Maria Zettner,Home Office
552,MZ17515,Mary Zewe,Corporate
553,NB18580,Nicole Brennan,Corporate
554,NB18655,Nona Balk,Corporate
555,NC18340,Nat Carroll,Consumer
556,NC18415,Nathan Cano,Consumer
557,NC18535,Nick Crebassa,Corporate
558,NC18625,Noah Childs,Corporate
559,ND18370,Natalie DeCherney,Consumer
560,ND18460,Neil Ducich,Corporate
561,NF18385,Natalie Fritzler,Consumer
562,NF18475,Neil Französisch,Home Office
563,NF18595,Nicole Fjeld,Home Office
564,NG18355,Nat Gilpin,Corporate
565,NG18430,Nathan Gelder,Consumer
566,NH18610,Nicole Hansen,Corporate
567,NK18490,Neil Knudson,Home Office
568,NL18310,Nancy Lomonaco,Home Office
569,NM18445,Nathan Mautz,Home Office
570,NM18520,Neoma Murray,Consumer
571,NP18325,Naresj Patel,Consumer
572,NP18670,Nora Paige,Consumer
573,NP18685,Nora Pelletier,Home Office
574,NP18700,Nora Preis,Consumer
575,NR18550,Nick Radford,Consumer
576,NS18505,Neola Schneider,Consumer
577,NS18640,Noel Staavos,Corporate
578,NW18400,Natalie Webber,Consumer
579,NZ18565,Nick Zandusky,Home Office
580,ON18715,Odella Nelson,Corporate
581,OT18730,Olvera Toch,Consumer
582,PA19060,Pete Armstrong,Home Office
583,PB18805,Patrick Bzostek,Home Office
584,PB19105,Peter Bühler,Consumer
585,PB19150,Philip Brown,Consumer
586,PB19210,Phillip Breyer,Corporate
587,PC18745,Pamela Coakley,Corporate
588,PC19000,Pauline Chand,Home Office
589,PF19120,Peter Fuller,Consumer
590,PF19165,Philip Fox,Consumer
591,PF19225,Phillip Flathmann,Consumer
592,PG18820,Patrick Gardner,Consumer
593,PG18895,Paul Gonzalez,Consumer
594,PH18790,Patricia Hirasaki,Home Office
595,PJ18835,Patrick Jones,Corporate
596,PJ19015,Pauline Johnson,Consumer
597,PK18910,Paul Knutson,Home Office
598,PK19075,Pete Kriz,Consumer
599,PL18925,Paul Lucas,Home Office
600,PM18940,Paul MacIntyre,Consumer
601,PM19135,Peter McVee,Home Office
602,PN18775,Parhena Norris,Home Office
603,PO18850,Patrick O'Brill,Consumer
604,PO18865,Patrick O'Donnell,Consumer
605,PO19180,Philisse Overcash,Home Office
606,PO19195,Phillina Ober,Home Office
607,PP18955,Paul Prost,Home Office
608,PR18880,Patrick Ryan,Consumer
609,PS18760,Pamela Stobb,Consumer
610,PS18970,Paul Stevenson,Home Office
611,PS19045,Penelope Sewall,Home Office
612,PT19090,Pete Takahito,Consumer
613,PV18985,Paul Van Hugh,Home Office
614,PW19030,Pauline Webber,Corporate
615,PW19240,Pierre Wener,Consumer
616,QJ19255,Quincy Jones,Corporate
617,RA19285,Ralph Arnett,Consumer
618,RA19885,Ruben Ausman,Corporate
619,RA19915,Russell Applegate,Consumer
620,RA19945,Ryan Akin,Consumer
621,RB19330,Randy Bradley,Consumer
622,RB19360,Raymond Buch,Consumer
623,RB19435,Richard Bierner,Consumer
624,RB19465,Rick Bensley,Home Office
625,RB19570,Rob Beeghly,Consumer
626,RB19645,Robert Barroso,Corporate
627,RB19705,Roger Barcio,Home Office
628,RB19795,Ross Baird,Home Office
629,RC19825,Roy Collins,Consumer
630,RC19960,Ryan Crowe,Consumer
631,RD19480,Rick Duston,Consumer
632,RD19585,Rob Dowd,Consumer
633,RD19660,Robert Dilbeck,Home Office
634,RD19720,Roger Demir,Consumer
635,RD19810,Ross DeVincentis,Home Office
636,RD19900,Ruben Dartt,Consumer
637,RD19930,Russell D'Ascenzo,Consumer
638,RE19405,Ricardo Emerson,Consumer
639,RE19450,Richard Eichhorn,Consumer
640,RF19345,Randy Ferguson,Corporate
641,RF19735,Roland Fjeld,Consumer
642,RF19840,Roy Französisch,Consumer
643,RH19495,Rick Hansen,Consumer
644,RH19510,Rick Huthwaite,Home Office
645,RH19555,Ritsa Hightower,Consumer
646,RH19600,Rob Haberlin,Consumer
647,RK19300,Ralph Kennedy,Consumer
648,RL19615,Rob Lucas,Consumer
649,RM19375,Raymond Messe,Consumer
650,RM19675,Robert Marley,Home Office
651,RM19750,Roland Murray,Consumer
652,RO19780,Rose O'Brian,Consumer
653,RP19270,Rachel Payne,Corporate
654,RP19390,Resi Pölking,Consumer
655,RP19855,Roy Phan,Corporate
656,RR19315,Ralph Ritter,Consumer
657,RR19525,Rick Reed,Corporate
658,RS19420,Ricardo Sperren,Corporate
659,RS19765,Roland Schwarz,Corporate
660,RS19870,Roy Skaria,Home Office
661,RW19540,Rick Wilson,Corporate
662,RW19630,Rob Williams,Corporate
663,RW19690,Robert Waldorf,Consumer
664,SA20830,Sue Ann Reed,Consumer
665,SB20170,Sarah Bern,Consumer
666,SB20185,Sarah Brown,Consumer
667,SB20290,Sean Braxton,Corporate
668,SC20020,Sam Craven,Consumer
669,SC20050,Sample Company A,Home Office
670,SC20095,Sanjit Chand,Consumer
671,SC20230,Scot Coram,Corporate
672,SC20260,Scott Cohen,Corporate
673,SC20305,Sean Christensen,Consumer
674,SC20380,Shahid Collister,Consumer
675,SC20440,Shaun Chance,Corporate
676,SC20575,Sonia Cooley,Consumer
677,SC20680,Steve Carroll,Home Office
678,SC20695,Steve Chapman,Corporate
679,SC20725,Steven Cartwright,Consumer
680,SC20770,Stewart Carmichael,Corporate
